OBS: node 14(L)	 pieces completed: 25	 	 down: 2	 up: 4 time: 100000
OBS: node 15(L)	 pieces completed: 27	 	 down: 5	 up: 4 time: 100000
OBS: node 16(L)	 pieces completed: 32	 	 down: 3	 up: 0 time: 100000
OBS: node 17(L)	 pieces completed: 27	 	 down: 5	 up: 0 time: 100000
OBS: node 18(L)	 pieces completed: 26	 	 down: 2	 up: 1 time: 100000
OBS: node 19(L)	 pieces completed: 24	 	 down: 4	 up: 1 time: 100000
OBS: node 20(L)	 pieces completed: 3	 	 down: 4	 up: 0 time: 100000
OBS: node 21(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 22(L)	 pieces completed: 24	 	 down: 2	 up: 3 time: 100000
OBS: node 23(L)	 pieces completed: 6	 	 down: 3	 up: 0 time: 100000
OBS: node 24(L)	 pieces completed: 15	 	 down: 0	 up: 5 time: 100000
OBS: node 25(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 26(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 27(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 28(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 29(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 100000
OBS: node 1(L)	 pieces completed: 15	 	 down: 1	 up: 6 time: 110000
OBS: node 2(L)	 pieces completed: 16	 	 down: 3	 up: 0 time: 110000
OBS: node 3(L)	 pieces completed: 16	 	 down: 3	 up: 2 time: 110000
OBS: node 4(L)	 pieces completed: 24	 	 down: 5	 up: 0 time: 110000
OBS: node 5(L)	 pieces completed: 36	 	 down: 0	 up: 0 time: 110000
OBS: node 6(L)	 pieces completed: 31	 	 down: 4	 up: 1 time: 110000
OBS: node 7(L)	 pieces completed: 14	 	 down: 3	 up: 0 time: 110000
OBS: node 8(L)	 pieces completed: 25	 	 down: 4	 up: 0 time: 110000
OBS: node 9(L)	 pieces completed: 16	 	 down: 5	 up: 9 time: 110000
OBS: node 10(L)	 pieces completed: 23	 	 down: 4	 up: 3 time: 110000
OBS: node 11(L)	 pieces completed: 10	 	 down: 0	 up: 3 time: 110000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 6 time: 110000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 110000
OBS: node 14(L)	 pieces completed: 27	 	 down: 3	 up: 0 time: 110000
OBS: node 15(L)	 pieces completed: 28	 	 down: 5	 up: 5 time: 110000
OBS: node 16(L)	 pieces completed: 38	 	 down: 1	 up: 3 time: 110000
OBS: node 17(L)	 pieces completed: 29	 	 down: 4	 up: 3 time: 110000
OBS: node 18(L)	 pieces completed: 34	 	 down: 3	 up: 1 time: 110000
OBS: node 19(L)	 pieces completed: 25	 	 down: 4	 up: 7 time: 110000
OBS: node 20(L)	 pieces completed: 10	 	 down: 1	 up: 0 time: 110000
OBS: node 21(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 22(L)	 pieces completed: 30	 	 down: 3	 up: 4 time: 110000
OBS: node 23(L)	 pieces completed: 6	 	 down: 0	 up: 3 time: 110000
OBS: node 24(L)	 pieces completed: 22	 	 down: 2	 up: 2 time: 110000
OBS: node 25(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 26(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 27(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 28(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 29(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 110000
OBS: node 1(L)	 pieces completed: 16	 	 down: 0	 up: 6 time: 120000
OBS: node 2(L)	 pieces completed: 17	 	 down: 0	 up: 0 time: 120000
OBS: node 3(L)	 pieces completed: 17	 	 down: 0	 up: 2 time: 120000
OBS: node 4(L)	 pieces completed: 30	 	 down: 4	 up: 0 time: 120000
OBS: node 5(L)	 pieces completed: 36	 	 down: 0	 up: 0 time: 120000
OBS: node 6(L)	 pieces completed: 33	 	 down: 3	 up: 1 time: 120000
OBS: node 7(L)	 pieces completed: 15	 	 down: 0	 up: 4 time: 120000
OBS: node 8(L)	 pieces completed: 28	 	 down: 4	 up: 4 time: 120000
OBS: node 9(L)	 pieces completed: 17	 	 down: 5	 up: 5 time: 120000
OBS: node 10(L)	 pieces completed: 24	 	 down: 0	 up: 0 time: 120000
OBS: node 11(L)	 pieces completed: 12	 	 down: 4	 up: 0 time: 120000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 120000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 4 time: 120000
OBS: node 14(L)	 pieces completed: 27	 	 down: 0	 up: 3 time: 120000
OBS: node 15(L)	 pieces completed: 29	 	 down: 5	 up: 8 time: 120000
OBS: node 16(S)	 pieces completed: 39	 	 down: 0	 up: 0 time: 120000
OBS: node 17(L)	 pieces completed: 31	 	 down: 5	 up: 0 time: 120000
OBS: node 18(L)	 pieces completed: 34	 	 down: 0	 up: 0 time: 120000
OBS: node 19(L)	 pieces completed: 30	 	 down: 4	 up: 0 time: 120000
OBS: node 20(L)	 pieces completed: 18	 	 down: 4	 up: 0 time: 120000
OBS: node 21(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 22(L)	 pieces completed: 36	 	 down: 3	 up: 4 time: 120000
OBS: node 23(L)	 pieces completed: 11	 	 down: 2	 up: 2 time: 120000
OBS: node 24(L)	 pieces completed: 30	 	 down: 4	 up: 0 time: 120000
OBS: node 25(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 26(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 27(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 28(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 29(L)	 pieces completed: 0	 	 down: 0	 up: 0 time: 120000
OBS: node 1(L)	 pieces completed: 23	 	 down: 1	 up: 2 time: 130000
OBS: node 2(L)	 pieces completed: 18	 	 down: 5	 up: 0 time: 130000
OBS: node 3(L)	 pieces completed: 24	 	 down: 3	 up: 3 time: 130000
OBS: node 4(L)	 pieces completed: 37	 	 down: 3	 up: 5 time: 130000
OBS: node 5(L)	 pieces completed: 36	 	 down: 0	 up: 0 time: 130000
OBS: node 6(L)	 pieces completed: 35	 	 down: 2	 up: 3 time: 130000
OBS: node 7(L)	 pieces completed: 21	 	 down: 2	 up: 0 time: 130000
OBS: node 8(L)	 pieces completed: 29	 	 down: 0	 up: 0 time: 130000
OBS: node 9(L)	 pieces completed: 18	 	 down: 5	 up: 5 time: 130000
OBS: node 10(L)	 pieces completed: 25	 	 down: 4	 up: 5 time: 130000
OBS: node 11(L)	 pieces completed: 12	 	 down: 0	 up: 2 time: 130000
OBS: node 12(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 130000
OBS: node 13(S)	 pieces completed: 39	 	 down: 0	 up: 2 time: 130000
OBS: node 14(L)	 pieces completed: 28	 	 down: 0	 up: 1 time: 130000
OBS: node 15(L)	 pieces completed: 30	 	 down: 5	 up: 9 time: 130000
